27006648 [0, 1, 2, 1, 3, 0, 0, 1, 1, 2, 2, 3, 1, 3]
27006952 [0, 1, 2, 1, 3, 0, 0, 1, 1, 3, 3, 2, 1, 3]
27202792 [0, 1, 2, 1, 3, 3, 0, 1, 1, 0, 3, 2, 1, 3]
27203368 [0, 1, 2, 1, 3, 3, 0, 1, 1, 3, 0, 2, 1, 3]
28579518 [0, 1, 2, 3, 1, 0, 0, 1, 1, 2, 2, 3, 3, 1]
30938807 [0, 1, 3, 1, 2, 0, 0, 1, 1, 2, 2, 3, 1, 2]
30939111 [0, 1, 3, 1, 2, 0, 0, 1, 1, 3, 3, 2, 1, 2]
31069367 [0, 1, 3, 1, 2, 2, 0, 1, 1, 0, 2, 3, 1, 2]
31069751 [0, 1, 3, 1, 2, 2, 0, 1, 1, 2, 0, 3, 1, 2]
31725546 [0, 1, 3, 2, 1, 0, 0, 1, 1, 3, 3, 2, 2, 1]
40642940 [0, 2, 1, 2, 3, 0, 0, 2, 2, 1, 1, 3, 2, 3]
40643548 [0, 2, 1, 2, 3, 0, 0, 2, 2, 3, 3, 1, 2, 3]
40839388 [0, 2, 1, 2, 3, 3, 0, 2, 2, 0, 3, 1, 2, 3]
40839964 [0, 2, 1, 2, 3, 3, 0, 2, 2, 3, 0, 1, 2, 3]
41429375 [0, 2, 1, 3, 2, 0, 0, 2, 2, 1, 1, 3, 3, 2]
47721431 [0, 2, 3, 1, 2, 0, 0, 2, 2, 3, 3, 1, 1, 2]
48507258 [0, 2, 3, 2, 1, 0, 0, 2, 2, 1, 1, 3, 2, 1]
48507866 [0, 2, 3, 2, 1, 0, 0, 2, 2, 3, 3, 1, 2, 1]
48572538 [0, 2, 3, 2, 1, 1, 0, 2, 2, 0, 1, 3, 2, 1]
48572730 [0, 2, 3, 2, 1, 1, 0, 2, 2, 1, 0, 3, 2, 1]
57425260 [0, 3, 1, 2, 3, 0, 0, 3, 3, 1, 1, 2, 2, 3]
58211695 [0, 3, 1, 3, 2, 0, 0, 3, 3, 1, 1, 2, 3, 2]
58211999 [0, 3, 1, 3, 2, 0, 0, 3, 3, 2, 2, 1, 3, 2]
58342559 [0, 3, 1, 3, 2, 2, 0, 3, 3, 0, 2, 1, 3, 2]
58342943 [0, 3, 1, 3, 2, 2, 0, 3, 3, 2, 0, 1, 3, 2]
60571288 [0, 3, 2, 1, 3, 0, 0, 3, 3, 2, 2, 1, 1, 3]
62143854 [0, 3, 2, 3, 1, 0, 0, 3, 3, 1, 1, 2, 3, 1]
62144158 [0, 3, 2, 3, 1, 0, 0, 3, 3, 2, 2, 1, 3, 1]
62209134 [0, 3, 2, 3, 1, 1, 0, 3, 3, 0, 1, 2, 3, 1]
62209326 [0, 3, 2, 3, 1, 1, 0, 3, 3, 1, 0, 2, 3, 1]
76366516 [1, 0, 2, 0, 3, 1, 1, 0, 0, 2, 2, 3, 0, 3]
76366820 [1, 0, 2, 0, 3, 1, 1, 0, 0, 3, 3, 2, 0, 3]
76497380 [1, 0, 2, 0, 3, 3, 1, 0, 0, 1, 3, 2, 0, 3]
